film;revenue;budget;language;popularity;vote average;vote count;log_budget;log_revenue;id;tagline;release date;genre;certification;genre_txt;year;lustrum;decade
;;;;;;;;;Genre;;;;;null;;;
Action;;;;;;;;;Action;;;;;Genre;;;
Adventure;;;;;;;;;Adventure;;;;;Genre;;;
Animation;;;;;;;;;Animation;;;;;Genre;;;
Comedy;;;;;;;;;Comedy;;;;;Genre;;;
Crime;;;;;;;;;Crime;;;;;Genre;;;
Documentary;;;;;;;;;Documentary;;;;;Genre;;;
Drama;;;;;;;;;Drama;;;;;Genre;;;
Family;;;;;;;;;Family;;;;;Genre;;;
Fantasy;;;;;;;;;Fantasy;;;;;Genre;;;
History;;;;;;;;;History;;;;;Genre;;;
Horror;;;;;;;;;Horror;;;;;Genre;;;
Music;;;;;;;;;Music;;;;;Genre;;;
Mystery;;;;;;;;;Mystery;;;;;Genre;;;
Romance;;;;;;;;;Romance;;;;;Genre;;;
Science Fiction;;;;;;;;;Science Fiction;;;;;Genre;;;
Thriller;;;;;;;;;Thriller;;;;;Genre;;;
TV Movie;;;;;;;;;TV Movie;;;;;Genre;;;
War;;;;;;;;;War;;;;;Genre;;;
Western;;;;;;;;;Western;;;;;Genre;;;
M*A*S*H;81600000;3500000;en;8736;7.1;488;6,544068044;7,911690159;651;M*A*S*H Gives A D*A*M*N.;24/01/1970;35;R;Comedy;1970;70-74;70-79
Patton;89800000;12000000;en;9648;7.5;588;7,079181246;7,953276337;11202;The Rebel Warrior;25/01/1970;18;PG;Drama;1970;70-74;70-79
Tora! Tora! Tora!;29548291;25485000;en;6885;7.1;252;7,406284638;7,470532367;11165;The incredible attack on Pearl Harbor.;26/01/1970;18;G;Drama;1970;70-74;70-79
Zabriskie Point;1,00E+06;7,00E+06;en;6.8;7.2;204;6,84509804;6;2998;How you get there depends on where you're at.;9/02/1970;18;R;Drama;1970;70-74;70-79
The Party at Kitty and Stud's;0;5000;en;6188;2.9;35;3,698970004;1;4255;NA;10/02/1970;35;NA;Comedy;1970;70-74;70-79
Scream and Scream Again;0;0;en;4.57;5.4;49;1;1;42594;TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!;13/02/1970;80;PG;Crime;1970;70-74;70-79
Hercules in New York;0;0;en;6322;3.8;124;1;1;5227;NA;23/02/1970;28;G;Action;1970;70-74;70-79
The Bird with the Crystal Plumage;0;5,00E+05;it;7418;7.2;307;5,698970004;1;20345;A stunning portrait in psycho-terror!;27/02/1970;27;R;Horror;1970;70-74;70-79
Airport;100489151;1,00E+07;en;7008;6.5;170;7;8,002119177;10671;The #1 novel of the year - now a motion picture!;5/03/1970;28;G;Action;1970;70-74;70-79
Woodstock;34505110;6,00E+05;en;7419;7.5;136;5,77815125;7,537883416;9459;3 days of peace, music...and love.;26/03/1970;99;R;Documentary;1970;70-74;70-79
Tristana;0;0;es;5959;7.4;102;1;1;35838;Somewhere between the innocent girl and the not so innocent mistress is the bizarre, sensuous story of Tristana;29/03/1970;18;NA;Drama;1970;70-74;70-79
Rio Lobo;0;0;en;5831;6.3;101;1;1;26593;Give 'Em Hell, John.;1/04/1970;37;G;Western;1970;70-74;70-79
Kes;0;0;en;5362;7.5;197;1;1;13384;They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.;3/04/1970;18;R;Drama;1970;70-74;70-79
Beneath the Planet of the Apes;18999718;3,00E+06;en;8029;6.2;647;6,477121255;7,278747155;1685;Now civilization's final battle between man and ape is about to begin.;1/05/1970;12;G;Adventure;1970;70-74;70-79
A Man Called Horse;0;0;en;5883;6.4;92;1;1;14676;A man called;1/05/1970;28;R;Action;1970;70-74;70-79
Taste the Blood of Dracula;0;0;en;5039;6.1;69;1;1;29748;DRINK A PINT OF BLOOD A DAY;7/05/1970;27;R;Horror;1970;70-74;70-79
The Ballad of Cable Hogue;5,00E+06;3716946;en;5261;7.1;93;6,570186252;6,698970004;23330;Cable Hogue says ‚Ä¶ ‚ÄúDo unto others ‚Ä¶ as you would have others do unto you.‚Äù;13/05/1970;28;R;Action;1970;70-74;70-79
Borsalino;0;0;fr;4912;7;95;1;1;25251;NA;19/05/1970;80;NA;Crime;1970;70-74;70-79
Two Mules for Sister Sara;5050000;0;en;8515;7;275;1;6,703291378;11916;CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!;14/06/1970;37;PG;Western;1970;70-74;70-79
Kelly's Heroes;5200000;4,00E+06;en;8608;7.4;346;6,602059991;6,716003344;11589;They set out to rob a bank... and damn near won a war instead!;22/06/1970;12;PG;Adventure;1970;70-74;70-79
Catch-22;24911670;1.8e+07;en;6.2;6.9;147;#°VALOR!;7,396402842;10364;NA;24/06/1970;35;R;Comedy;1970;70-74;70-79
Beyond the Valley of the Dolls;4,00E+07;2090000;en;6483;6.5;101;6,320146286;7,602059991;5722;This Is Not A Sequel. There Has Never Been Anything Like It!;17/07/1970;35;NA;Comedy;1970;70-74;70-79
